iter	Passed	Remaining
1390	7949	49200
1391	7955	49193
1392	7960	49186
1393	7966	49180
1394	7971	49172
1395	7976	49164
1396	7982	49159
1397	7988	49151
1398	7993	49143
1399	7999	49137
1400	8004	49130
1401	8010	49124
1402	8016	49118
1403	8021	49110
1404	8026	49103
1405	8032	49099
1406	8037	49090
1407	8043	49083
1408	8049	49079
1409	8054	49071
1410	8060	49064
1411	8066	49060
1412	8071	49053
1413	8077	49045
1414	8083	49042
1415	8089	49037
1416	8094	49030
1417	8100	49024
1418	8105	49016
1419	8111	49013
1420	8117	49006
1421	8122	48997
1422	8128	48992
1423	8133	48985
1424	8139	48978
1425	8145	48973
1426	8150	48965
1427	8156	48960
1428	8161	48954
1429	8167	48947
1430	8172	48939
1431	8178	48932
1432	8183	48925
1433	8189	48918
1434	8194	48912
1435	8200	48904
1436	8205	48897
1437	8211	48892
1438	8216	48883
1439	8222	48876
1440	8227	48869
1441	8233	48861
1442	8238	48853
1443	8244	48847
1444	8249	48840
1445	8255	48833
1446	8260	48825
1447	8265	48818
1448	8271	48810
1449	8276	48802
1450	8281	48794
1451	8287	48787
1452	8292	48780
1453	8298	48775
1454	8304	48768
1455	8309	48763
1456	8315	48758
1457	8321	48750
1458	8326	48745
1459	8333	48742
1460	8338	48736
1461	8344	48730
1462	8350	48726
1463	8356	48722
1464	8362	48717
1465	8367	48710
1466	8373	48703
1467	8378	48697
1468	8384	48689
1469	8389	48681
1470	8395	48675
1471	8400	48668
1472	8405	48659
1473	8411	48654
1474	8416	48646
1475	8421	48634
1476	8427	48628
1477	8432	48622
1478	8438	48615
1479	8444	48613
1480	8450	48610
1481	8457	48607
1482	8462	48602
1483	8468	48594
1484	8473	48588
1485	8479	48582
1486	8484	48574
1487	8490	48568
1488	8495	48559
1489	8500	48552
1490	8506	48547
1491	8512	48540
1492	8517	48533
1493	8523	48529
1494	8529	48523
1495	8534	48514
1496	8540	48509
1497	8545	48501
1498	8551	48494
1499	8556	48487
1500	8562	48480
1501	8567	48472
1502	8573	48466
1503	8578	48460
1504	8584	48453
1505	8590	48449
1506	8595	48442
1507	8600	48434
1508	8606	48428
1509	8612	48421
1510	8617	48412
1511	8623	48407
1512	8628	48399
1513	8633	48392
1514	8639	48386
1515	8644	48378
1516	8650	48371
1517	8655	48366
1518	8661	48359
1519	8666	48352
1520	8672	48346
1521	8678	48339
1522	8683	48331
1523	8688	48325
1524	8694	48317
1525	8699	48309
1526	8705	48305
1527	8710	48298
1528	8716	48290
1529	8722	48286
1530	8727	48278
1531	8732	48270
1532	8738	48265
1533	8744	48258
1534	8749	48250
1535	8755	48245
1536	8760	48238
1537	8766	48230
1538	8772	48226
1539	8777	48218
1540	8782	48212
1541	8788	48208
1542	8794	48201
1543	8799	48193
1544	8805	48188
1545	8811	48181
1546	8816	48174
1547	8822	48169
1548	8828	48163
1549	8833	48155
1550	8839	48153
1551	8845	48146
1552	8850	48141
1553	8856	48137
1554	8862	48129
1555	8868	48125
1556	8873	48120
1557	8879	48112
1558	8884	48106
1559	8890	48100
1560	8896	48094
1561	8902	48090
1562	8907	48082
1563	8913	48075
1564	8919	48071
1565	8924	48064
1566	8929	48057
1567	8935	48052
1568	8941	48044
1569	8946	48036
1570	8952	48031
1571	8957	48024
1572	8963	48018
1573	8968	48013
1574	8974	48006
1575	8979	47998
1576	8985	47994
1577	8991	47988
1578	8997	47982
1579	9003	47978
1580	9008	47972
1581	9014	47965
1582	9019	47960
1583	9025	47954
1584	9031	47947
1585	9037	47943
1586	9042	47935
1587	9048	47929
1588	9054	47925
1589	9059	47918
1590	9064	47911
1591	9070	47905
1592	9076	47899
1593	9082	47894
1594	9087	47887
1595	9092	47880
1596	9098	47876
1597	9104	47870
1598	9109	47862
1599	9115	47858
1600	9121	47854
1601	9126	47844
1602	9132	47840
1603	9138	47832
1604	9144	47828
1605	9150	47823
1606	9155	47816
1607	9160	47809
1608	9166	47805
1609	9172	47798
1610	9177	47791
1611	9183	47787
1612	9189	47780
1613	9194	47773
1614	9200	47769
1615	9205	47761
1616	9211	47753
1617	9217	47748
1618	9222	47741
1619	9227	47734
1620	9233	47729
1621	9239	47722
1622	9244	47717
1623	9250	47713
1624	9256	47705
1625	9261	47697
1626	9267	47692
1627	9272	47684
1628	9277	47675
1629	9283	47669
1630	9288	47662
1631	9294	47655
1632	9299	47649
1633	9305	47643
1634	9311	47637
1635	9316	47632
1636	9322	47625
1637	9327	47618
1638	9333	47612
1639	9338	47605
1640	9344	47599
1641	9350	47592
1642	9355	47585
1643	9360	47576
1644	9366	47572
1645	9372	47567
1646	9378	47562
1647	9383	47555
1648	9389	47549
1649	9395	47544
1650	9400	47539
1651	9406	47533
1652	9412	47530
1653	9417	47522
1654	9423	47515
1655	9429	47513
1656	9435	47508
1657	9441	47503
1658	9447	47500
1659	9452	47492
1660	9458	47484
1661	9463	47479
1662	9469	47470
1663	9474	47465
1664	9480	47460
1665	9485	47452
1666	9490	47443
1667	9496	47437
1668	9501	47429
1669	9507	47421
1670	9512	47416
1671	9518	47407
1672	9523	47399
1673	9528	47393
